IndicationId,IndicationName,IndicationImage
G1,Keratinisasi,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G2,Gatal gatal,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G3,Keropeng,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G4,Ketombe,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G5,Kutuan,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G6,Kurus,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G7,Bulu rontok,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G8,Anoreksia,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G9,Abdomen keras,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G10,Muntah,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G11,Diare,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G12,Perut buncit,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G13,Hilang nafsu makan,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G14,Ada cacing di fases,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G15,Pilek,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G16,Bersin bersin,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G17,Hidung tersumbat,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G18,Badan lemas,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G19,Mata berair Anemia,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G20,Hidung berair,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G21,Ringwarm pada kulit,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G22,Kulit kemerahan sampai lecet,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G23,Jamuran,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G24,Lesi berminyak pengganti,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G25,Guratan parah pada telinga,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G26,Adanya cairan hitam keluar,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G27,Telinga terdapat lilin dan bau,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G28,Diare campur darah,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G29,Feses lembek,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G30,Minum banyak,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G31,Abdomen sakit,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
G32,Vaksinasi,https://mmc.tirto.id/image/2019/01/08/kucing-sedih-istockphoto_ratio-16x9.jpg
